id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,62869.0,1244186808861,1,1322171305695,33630873741,64131.0,62970.0,-1112.973548118869,-1.73951,-21090628411.473633,-1.66688,19761375.0,21000000.0,21000000.0,73738.0,-13.94098,2024-03-14T07:10:36.635Z,67.81,93483.65847,2013-07-06T00:00:00.000Z,,2024-10-01T13:39:30.137Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2590.25,311820355494,2,311820355494,16724978741,2652.65,2581.66,-42.089712688355576,-1.59895,-5145318014.370911,-1.6233,120369473.880651,120369473.880651,,4878.26,-46.4261,2021-11-10T14:24:19.604Z,0.432979,603503.27111,2015-10-20T00:00:00.000Z,"{'times': 53.96404379477516, 'currency': 'btc', 'percentage': 5396.404379477515}",2024-10-01T13:39:19.376Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.997478,119388755180,3,119388755180,53767225196,1.001,0.997011,-0.002550019289553118,-0.25499,-259145681.52305603,-0.21659,119632023784.447,119632023784.447,,1.32,-24.4678,2018-07-24T00:00:00.000Z,0.572521,74.55481,2015-03-02T00:00:00.000Z,,2024-10-01T13:39:20.103Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,570.37,83096387107,4,83096387107,816425560,582.39,564.88,-6.709711506889789,-1.16271,-1162193679.5986633,-1.37932,145887575.79,145887575.79,200000000.0,717.48,-19.86507,2024-06-06T14:10:59.816Z,0.0398177,1443851.87823,2017-10-19T00:00:00.000Z,,2024-10-01T13:39:28.929Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,153.63,72296394561,5,90399933680,2536963191,157.23,151.62,-3.2873416970116693,-2.09494,-1330438088.773819,-1.807,468391335.634148,585679907.481843,,259.96,-40.24783,2021-11-06T21:54:35.825Z,0.500801,30916.55837,2020-05-11T19:35:23.449Z,,2024-10-01T13:39:18.243Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.619217,35286696461,6,62375612477,1777107056,0.633421,0.610745,-0.012284453169618017,-1.94528,-425158750.8353958,-1.19053,56564039920.0,99987161962.0,100000000000.0,3.4,-81.54521,2018-01-07T00:00:00.000Z,0.00268621,23248.04531,2014-05-22T00:00:00.000Z,,2024-10-01T13:39:24.802Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.998303,35262061686,7,35265489045,7073411309,1.002,0.997063,-0.00170243251877289,-0.17024,-698631254.8548279,-1.94276,35339998239.7757,35343433174.0634,,1.17,-14.7322,2019-05-08T00:40:28.300Z,0.877647,13.93432,2023-03-11T08:02:13.981Z,,2024-10-01T13:39:22.832Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2591.71,25515667104,8,25515925991,42490938,2651.74,2580.19,-37.39175036492861,-1.42223,-286216369.0795288,-1.10928,9808693.00774468,9808792.52862037,,4829.57,-45.95183,2021-11-10T14:40:47.256Z,482.9,440.54977,2020-12-22T04:08:21.854Z,,2024-10-01T13:39:19.608Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.114873,16808716188,9,16808716188,990394592,0.120735,0.113619,-0.005861999619075867,-4.85527,-842903199.4131851,-4.77522,146185856383.705,146185856383.705,,0.731578,-84.0608,2021-05-08T05:08:23.458Z,8.69e-05,134080.26536,2015-05-06T00:00:00.000Z,,2024-10-01T13:39:16.945Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.72,14486881938,10,29321094578,307289768,5.87,5.68,-0.11175330859988986,-1.91791,-256590212.71107864,-1.74036,2525925286.96346,5112410976.52849,,8.25,-30.18235,2024-06-15T00:36:51.509Z,0.519364,1009.52562,2021-09-21T00:33:11.092Z,,2024-10-01T13:39:23.853Z
