id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,63772.0,1259559288877,1,1338509012108,33020613859,64131.0,62970.0,-72.55315773384791,-0.11364,-1780626007.209961,-0.14117,19761350.0,21000000.0,21000000.0,73738.0,-13.52737,2024-03-14T07:10:36.635Z,67.81,93933.43264,2013-07-06T00:00:00.000Z,,2024-10-01T12:22:05.072Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2632.06,316615591481,2,316615591481,16246826447,2652.65,2581.66,1.74,0.06618,-94376723.05291748,-0.0298,120369473.880651,120369473.880651,,4878.26,-46.06216,2021-11-10T14:24:19.604Z,0.432979,607603.70002,2015-10-20T00:00:00.000Z,"{'times': 54.18466881681438, 'currency': 'btc', 'percentage': 5418.466881681438}",2024-10-01T12:22:08.837Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,119579110687,3,119579110687,50590813583,1.002,0.997043,9.886e-05,0.00989,-80834174.10099792,-0.06755,119632023784.447,119632023784.447,,1.32,-24.42483,2018-07-24T00:00:00.000Z,0.572521,74.65411,2015-03-02T00:00:00.000Z,,2024-10-01T12:22:04.076Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,578.02,84297745469,4,84297745469,817527906,582.39,564.88,3.35,0.58306,458201380.0,0.54652,145887575.79,145887575.79,200000000.0,717.48,-19.45753,2024-06-06T14:10:59.816Z,0.0398177,1451195.20244,2017-10-19T00:00:00.000Z,,2024-10-01T12:22:05.113Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,156.57,73308960616,5,91666033152,2433321235,157.23,151.62,0.718227,0.46085,322621650.0,0.44203,468391624.730942,585680077.480058,,259.96,-39.78596,2021-11-06T21:54:35.825Z,0.500801,31156.30614,2020-05-11T19:35:23.449Z,,2024-10-01T12:22:01.578Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,0.629181,35596731755,6,62923655883,1754524574,0.636376,0.610745,0.0002412,0.03835,-816801.6730422974,-0.00229,56564039920.0,99987161962.0,100000000000.0,3.4,-81.47882,2018-01-07T00:00:00.000Z,0.00268621,23332.03699,2014-05-22T00:00:00.000Z,,2024-10-01T12:22:01.725Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,1.0,35327555422,7,35331022914,6307120707,1.002,0.997063,0.00013717,0.01372,-714028110.8367615,-1.98112,35326021294.3084,35329488636.424,,1.17,-14.7322,2019-05-08T00:40:28.300Z,0.877647,13.93432,2023-03-11T08:02:13.981Z,,2024-10-01T12:22:03.013Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2631.54,25827619610,8,25827619610,40649070,2651.74,2580.19,2.72,0.10351,-16957338.707256317,-0.06561,9818168.10525683,9818174.63675683,,4829.57,-45.51245,2021-11-10T14:40:47.256Z,482.9,444.94413,2020-12-22T04:08:21.854Z,,2024-10-01T12:22:01.524Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.118295,17276105324,9,17282343921,986455315,0.120892,0.113619,-0.00171356387928924,-1.42786,-243531604.75473404,-1.39005,146132206383.705,146185236383.705,,0.731578,-83.83584,2021-05-08T05:08:23.458Z,8.69e-05,135974.02836,2015-05-06T00:00:00.000Z,,2024-10-01T12:22:08.197Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,5.81,14676733760,10,29705361678,303637336,5.87,5.68,-0.00298597875907003,-0.05134,-73899062.4564991,-0.50099,2525924265.43681,5112410764.21439,,8.25,-29.72601,2024-06-15T00:36:51.509Z,0.519364,1016.77774,2021-09-21T00:33:11.092Z,,2024-10-01T12:22:02.400Z
